[23Dec2024 00:00:06.500] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-4, 12], pos: MutableBlockPos{x=-49, y=72, z=192}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:00:06.509] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-3, 12], pos: MutableBlockPos{x=-48, y=71, z=192}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:00:06.545] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-18, 12], pos: MutableBlockPos{x=-288, y=34, z=193}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/magma_lakes]
[23Dec2024 00:00:06.570] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-19, 12], pos: MutableBlockPos{x=-292, y=91, z=192}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:00:06.570] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-19, 12], pos: MutableBlockPos{x=-292, y=90, z=192}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:00:27.906] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-191, y=65, z=324} BlockPos{x=-191, y=64, z=325}
[23Dec2024 00:00:27.954] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-191, y=65, z=324} BlockPos{x=-191, y=64, z=325}
[23Dec2024 00:00:28.005] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-190, y=65, z=324} BlockPos{x=-191, y=64, z=325}
[23Dec2024 00:00:54.479] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-321, y=83, z=288}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:00:54.480] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-21, 18], pos: MutableBlockPos{x=-327, y=82, z=288}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[23Dec2024 00:01:59.150] [Worker-Main-1/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-13, 9], pos: MutableBlockPos{x=-208, y=72, z=156}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
